batch,model,condition,task,scored,reward,error_type,source
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/hf-model-inference,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/hf-model-inference__uYQwQ2v/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/dna-assembly,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/dna-assembly__Tzh9fuP/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/git-multibranch,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/git-multibranch__QwTpDkS/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/extract-elf,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/extract-elf__YL22y5Q/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/model-extraction-relu-logits,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/model-extraction-relu-logits__3XJUVo6/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/polyglot-c-py,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/polyglot-c-py__WKwSuFK/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/gcode-to-text,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/gcode-to-text__BYzQXDW/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sqlite-db-truncate,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/sqlite-db-truncate__8jgL49c/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/mteb-leaderboard,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/mteb-leaderboard__xS2y3cM/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/compile-compcert,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/compile-compcert__fbzHwAK/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/tune-mjcf,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/tune-mjcf__McSMpfu/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/filter-js-from-html,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/filter-js-from-html__TWNBBdT/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/merge-diff-arc-agi-task,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/merge-diff-arc-agi-task__icaWiFu/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/circuit-fibsqrt,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/circuit-fibsqrt__eXXWnXR/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/fix-git,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/fix-git__EjqJbsr/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/git-leak-recovery,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/git-leak-recovery__DXnNErP/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sqlite-with-gcov,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/sqlite-with-gcov__DGnepBB/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/fix-code-vulnerability,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/fix-code-vulnerability__CKUEnqK/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/pytorch-model-recovery,False,,AgentTimeoutError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/pytorch-model-recovery__9CaMmxg/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/caffe-cifar-10,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/caffe-cifar-10__3uokiXa/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/polyglot-rust-c,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/polyglot-rust-c__fXR5sso/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/mcmc-sampling-stan,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/mcmc-sampling-stan__9ABrVfi/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/mteb-retrieve,False,,VerifierTimeoutError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/mteb-retrieve__CWnDDfM/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/portfolio-optimization,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/portfolio-optimization__jRGqftX/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/bn-fit-modify,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/bn-fit-modify__QdtcvnX/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/qemu-startup,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/qemu-startup__WpQVizc/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/crack-7z-hash,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/crack-7z-hash__uAaSWV6/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/custom-memory-heap-crash,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/custom-memory-heap-crash__KG5PFhU/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/winning-avg-corewars,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/winning-avg-corewars__BdXJG9M/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/build-cython-ext,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/build-cython-ext__XXeHuHt/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/regex-log,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/regex-log__k4WQShT/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/prove-plus-comm,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/prove-plus-comm__eHHnPkc/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/large-scale-text-editing,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/large-scale-text-editing__HFbcqgK/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/raman-fitting,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/raman-fitting__b4atJAf/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/code-from-image,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/code-from-image__cSTXztw/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/make-doom-for-mips,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/make-doom-for-mips__LbiFVFn/result.json
