condition,model,stage,returned,valid_excluding_38,points,total,source
baseline30,GLM-5.1,smoke-w2,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/smoke-w2
baseline30,GLM-5.1,capacity-w4,4,4,0,4,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/capacity-w4
baseline30,GLM-5.1,capacity-w8,8,6,2,6,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/capacity-w8
baseline30,GLM-5.1,capacity-w64,64,36,17,36,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/capacity-w64
baseline30,GLM-5.1,capacity-w128,128,72,35,72,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/capacity-w128
baseline30,GLM-5.1,remaining-after-high,16,7,4,7,/srv/benchmark/skills/results/oas-api222-20260912-r1/glm5/remaining-after-high
baseline100,DeepSeek-V4-Flash,baseline100-deepseek-flash-r1-smoke,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/baseline100/deepseek-flash/baseline100-deepseek-flash-r1-smoke
baseline100,DeepSeek-V4-Flash,baseline100-deepseek-flash-r1-w32,182,169,88,169,/srv/benchmark/skills/results/oas-api222-20260912-r1/baseline100/deepseek-flash/baseline100-deepseek-flash-r1-w32
baseline100,DeepSeek-V4-Flash,baseline100-deepseek-flash-supplement-20260913-r2-full,13,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/baseline100/deepseek-flash/baseline100-deepseek-flash-supplement-20260913-r2-full
skills100,GLM-5.1,skills100-glm5-check,2,2,2,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-check
skills100,GLM-5.1,skills100-glm5-w128,220,18,3,18,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-w128
skills100,GLM-5.1,skills100-glm5-recharge1-w128,202,79,32,79,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-recharge1-w128
skills100,GLM-5.1,skills100-glm5-rate1-w32,102,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-rate1-w32
skills100,GLM-5.1,skills100-glm5-repair1-smoke,1,1,0,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-repair1-smoke
skills100,GLM-5.1,skills100-glm5-repair2-smoke,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-repair2-smoke
skills100,GLM-5.1,skills100-glm5-repair2-w32,81,52,20,52,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-repair2-w32
skills100,GLM-5.1,skills100-glm5-entrypoint-regrade-r3-safety-joint-filing,1,1,0,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-entrypoint-regrade-r3-safety-joint-filing
skills100,GLM-5.1,skills100-glm5-repair4-w32,25,17,9,17,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-repair4-w32
