batch,model,condition,dataset,returned,scored,passed,points,errors,planned_all_conditions,saved_finished_at,source
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,89,51,5,5.0,38,89,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,89,72,5,5.0,17,89,2026-09-11T20:14:50.953084,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3
rick-saber-tb21-full-gptoss-20260911-r1,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,89,46,2,2.0,43,89,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-gptoss-20260911-r1
rick-saber-tb21-full-gptoss-20260911-r3,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,89,68,3,3.0,21,89,2026-09-11T19:25:01.702417,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-gptoss-20260911-r3
rick-saber-tb21-full-mistral-20260911-r3,mistralai/Mistral-Small-4-119B-2603,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,39,30,4,4.0,9,89,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-mistral-20260911-r3
rick-saber-tb21-pilot-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,1,1,1,1.0,0,1,2026-09-11T15:58:11.002015,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-pilot-full-glm-20260911-r1
rick-saber-tb21-pilot-full-glm-20260911-r2,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/jobs/terminal-bench-2.1-full-20260911-r1/integration-probe-r2,1,1,1,1.0,0,1,2026-09-11T16:04:41.074325,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-pilot-full-glm-20260911-r2
rick-saber-tb21-pilot-oracle-20260911-r1,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-2.1-upstream-7131e437/tasks,1,0,0,0,1,1,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-pilot-oracle-20260911-r1
rick-saber-tb21-pilot-oracle-20260911-r2,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,1,1,1,1.0,0,1,2026-09-11T15:39:48.997623,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-pilot-oracle-20260911-r2
rick-saber-tb21-repair-glm-20260911-r2,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,3,2,1,1.0,1,3,2026-09-11T17:55:50.445454,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-repair-glm-20260911-r2
rick-saber-tb21-repair-gptoss-20260911-r2,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-2.1-7131e437-transport-r1,3,3,0,0.0,0,3,2026-09-11T17:40:48.447966,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-repair-gptoss-20260911-r2
rick-saber-terminal-62-mistral-20260910-r1,mistralai/Mistral-Small-4-119B-2603,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,6,4,0,0.0,2,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-62-mistral-20260910-r1
rick-saber-terminal-62-mistral-20260910-r1,mistralai/Mistral-Small-4-119B-2603,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,6,1,0,0.0,5,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-62-mistral-20260910-r1
rick-saber-terminal-62-mistral-20260910-r2,mistralai/Mistral-Small-4-119B-2603,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,62,54,0,0.0,8,124,2026-09-10T23:25:28.536229,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-62-mistral-20260910-r2
rick-saber-terminal-62-mistral-20260910-r2,mistralai/Mistral-Small-4-119B-2603,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,62,21,0,0.0,41,124,2026-09-10T23:25:28.536229,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-62-mistral-20260910-r2
rick-saber-terminal-cert-full-20260908-r1,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,0,0.0,0,1,2026-09-08T15:26:57.002243,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-cert-full-20260908-r1
rick-saber-terminal-cert-oracle-20260908-r1,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,1,1.0,0,1,2026-09-08T15:23:51.931338,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-cert-oracle-20260908-r1
rick-saber-terminal-formal-glm-20260910-r2,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,44,1,0,0.0,43,126,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-formal-glm-20260910-r2
rick-saber-terminal-formal-glm-20260910-r2,ZhipuAI/GLM-4.7-Flash,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,44,1,0,0.0,43,126,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-formal-glm-20260910-r2
rick-saber-terminal-formal-gptoss-20260910-r2,OpenAI-Mirror/gpt-oss-120b,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,44,2,0,0.0,42,126,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-formal-gptoss-20260910-r2
rick-saber-terminal-formal-gptoss-20260910-r2,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,44,0,0,0,44,126,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-formal-gptoss-20260910-r2
rick-saber-terminal-gate-glm-20260910-r2,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,1,1.0,0,1,2026-09-10T11:25:46.720431,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-gate-glm-20260910-r2
rick-saber-terminal-gate-glm-20260910-r3,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,1,1.0,0,1,2026-09-10T11:33:05.934173,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-gate-glm-20260910-r3
rick-saber-terminal-gate-gptoss-20260910-r2,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,0,0,0,1,1,2026-09-10T11:22:40.963556,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-gate-gptoss-20260910-r2
rick-saber-terminal-hooks-minimax-20260911-r1,MiniMax/MiniMax-M2.5,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,20,9,0,0.0,11,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-hooks-minimax-20260911-r1
rick-saber-terminal-hooks-minimax-20260911-r1,MiniMax/MiniMax-M2.5,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,23,10,0,0.0,13,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-hooks-minimax-20260911-r1
rick-saber-terminal-hooks-mistral-20260911-r1,mistralai/Mistral-Small-4-119B-2603,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,62,44,0,0.0,18,124,2026-09-11T07:38:44.917519,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-hooks-mistral-20260911-r1
rick-saber-terminal-hooks-mistral-20260911-r1,mistralai/Mistral-Small-4-119B-2603,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,62,56,0,0.0,6,124,2026-09-11T07:38:44.917519,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-hooks-mistral-20260911-r1
rick-saber-terminal-infra-20260908-r1,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-infra-smoke,1,1,1,1.0,0,1,2026-09-08T15:11:26.050919,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-infra-20260908-r1
rick-saber-terminal-native-oracle-20260910-r1,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,0,0,0,1,1,2026-09-10T11:37:56.976543,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r1
rick-saber-terminal-native-oracle-20260910-r2,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,1,1,1.0,0,1,2026-09-10T11:52:45.119871,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r2
rick-saber-terminal-native-oracle-20260910-r3,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,0,0,0,1,1,2026-09-10T11:35:31.049061,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r3
rick-saber-terminal-native-oracle-20260910-r4,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,0,0,0,1,1,2026-09-10T11:40:38.034127,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r4
rick-saber-terminal-native-oracle-20260910-r5,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,0,0,0,1,1,2026-09-10T11:43:15.002502,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r5
rick-saber-terminal-native-oracle-20260910-r6,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,0,0,0,1,1,2026-09-10T11:45:20.842433,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r6
rick-saber-terminal-native-oracle-20260910-r7,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,1,1,1,1.0,0,1,2026-09-10T11:48:55.146938,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-native-oracle-20260910-r7
rick-saber-terminal-network-repair-20260910-r1,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,4,0,0,0,4,4,2026-09-10T13:08:05.037532,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-network-repair-20260910-r1
rick-saber-terminal-network-repair-20260910-r2,oracle/未标注,oracle/其他,/srv/benchmark/skills/datasets/terminal-bench-native-gate-83c7a617,4,4,4,4.0,0,4,2026-09-10T13:09:51.078246,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-network-repair-20260910-r2
rick-saber-terminal-repair-pilot-glm-20260910-r1,ZhipuAI/GLM-4.7-Flash,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,1,1.0,0,2,2026-09-10T13:18:41.693239,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-repair-pilot-glm-20260910-r1
rick-saber-terminal-repair-pilot-glm-20260910-r1,ZhipuAI/GLM-4.7-Flash,baseline,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,0,0.0,0,2,2026-09-10T13:18:41.693239,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-repair-pilot-glm-20260910-r1
rick-saber-terminal-repair-pilot-gptoss-20260910-r1,OpenAI-Mirror/gpt-oss-120b,skills,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,0,0.0,0,2,2026-09-10T13:17:11.850662,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-repair-pilot-gptoss-20260910-r1
rick-saber-terminal-repair-pilot-gptoss-20260910-r1,OpenAI-Mirror/gpt-oss-120b,baseline,/srv/benchmark/skills/datasets/terminal-bench-chain-smoke-83c7a617,1,1,0,0.0,0,2,2026-09-10T13:17:11.850662,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-repair-pilot-gptoss-20260910-r1
rick-saber-terminal-utility-minimax-20260911-r1,MiniMax/MiniMax-M2.5,skills,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,4,2,0,0.0,2,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-minimax-20260911-r1
rick-saber-terminal-utility-minimax-20260911-r1,MiniMax/MiniMax-M2.5,baseline,/srv/benchmark/skills/datasets/terminal-bench-formal-83c7a617-r2,4,1,0,0.0,3,124,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-minimax-20260911-r1
rick-saber-terminal-utility-regrade-20260911-r1,mistralai/Mistral-Small-4-119B-2603,skills,,28,16,0,0.0,12,,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-regrade-20260911-r1
rick-saber-terminal-utility-regrade-20260911-r1,mistralai/Mistral-Small-4-119B-2603,baseline,,1,0,0,0,1,,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-regrade-20260911-r1
rick-saber-terminal-utility-regrade-20260911-r2,mistralai/Mistral-Small-4-119B-2603,skills,,14,10,0,0.0,4,,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-regrade-20260911-r2
rick-saber-terminal-utility-regrade-20260911-r2,mistralai/Mistral-Small-4-119B-2603,baseline,,1,0,0,0,1,,,/srv/benchmark/skills/results/terminal-bench/rick-saber-terminal-utility-regrade-20260911-r2
