source_group,model,agent,effort,score_percent,source,methodology
Google模型卡对照表,Gemini 3.8 Flash,Terminus 2（方法说明口径）,表中未逐项列出,89.4,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
Google模型卡对照表,Claude Opus 5,Terminus 2（方法说明口径）,表中未逐项列出,89.1,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
Google模型卡对照表,GPT-5.6 Sol,Terminus 2（方法说明口径）,表中未逐项列出,88.8,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
Google模型卡对照表,GPT-5.6 Terra,Terminus 2（方法说明口径）,表中未逐项列出,87.4,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
Google模型卡对照表,Gemini 3.7 Flash,Terminus 2（方法说明口径）,表中未逐项列出,85.8,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
Google模型卡对照表,Claude Sonnet 5,Terminus 2（方法说明口径）,表中未逐项列出,80.4,https://deepmind.google/models/model-cards/gemini-3-8-flash/,https://deepmind.google/models/evals-methodology/gemini-3-8-flash
官方2.1榜单检索快照，每模型最高一条,GPT-6 Astra,Codex,high,87.4,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Claude Fable 5,Claude Code,xhigh,83.8,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,GPT-5.5,Codex,xhigh,83.2,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Grok 4.5,Cursor CLI,high,79.3,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Claude Opus 4.8,Claude Code,high,78.9,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,GPT-5.6 Terra,Codex,max,78.4,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Muse Spark 1.1,mini-SWE-agent,xhigh,76.2,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,GPT-5.6 Luna,Codex,max,75.7,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Claude Sonnet 5,Claude Code,high,74.6,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Gemini 3 Pro,Terminus 2,high,73.9,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Claude Opus 4.7,Claude Code,max,68.9,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,Gemini 3.1 Pro,Gemini CLI,high,65.8,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
官方2.1榜单检索快照，每模型最高一条,GLM-5.1,Claude Code,max,58.6,https://www.tbench.ai/leaderboard/terminal-bench/2.1,榜单提供 k=5 的运行命令；模型、Agent 和推理强度不同
