source,group,files,uncompressed_bytes,compressed_bytes,parts,credential_redactions,deployment_redacted_files
oas-api222-20260912-r1,baseline100/deepseek-flash/baseline100-deepseek-flash-r1-smoke,15,1384033,278479,1,112,9
oas-api222-20260912-r1,baseline100/deepseek-flash/baseline100-deepseek-flash-r1-w32,915,175134954,28593933,7,11785,439
oas-api222-20260912-r1,baseline100/deepseek-flash/baseline100-deepseek-flash-supplement-20260913-r2-full,70,533142,70607,1,14,15
oas-api222-20260912-r1,glm5/capacity-w128,645,85998372,13446388,4,5544,291
oas-api222-20260912-r1,glm5/capacity-w4,25,2426167,453378,1,423,11
oas-api222-20260912-r1,glm5/capacity-w64,325,41460042,6422765,2,3134,159
oas-api222-20260912-r1,glm5/capacity-w8,45,3277067,697405,1,369,21
oas-api222-20260912-r1,glm5/remaining-after-high,85,8186104,1508316,1,629,41
oas-api222-20260912-r1,glm5/smoke-w2,15,571509,141301,1,87,7
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-entrypoint-regrade-r3-safety-relocation,1,453761,69314,1,19,1
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-entrypoint-regrade-r3-safety-residence,1,688054,111094,1,24,1
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-held-retry1,15,2986278,502677,1,135,9
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-parallel1-w128,1060,61012128,9527258,3,8376,362
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-repair1-smoke,6,231078,32494,1,13,5
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-repair2-smoke,15,2456598,405759,1,135,7
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-repair2-w32,583,194067036,26667981,7,8476,307
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-repair4-w32,225,112914564,15439925,4,4571,121
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-supplement-20260913-r1-full,23,10075170,1390113,1,247,17
oas-api222-20260912-r1,skills100/deepseek-flash/skills100-deepseek-flash-supplement-20260913-r2-full,15,90615,14869,1,3,4
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-check,15,1407586,267639,1,135,7
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-entrypoint-regrade-r3-safety-joint-filing,1,48099,17092,1,19,1
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-held-retry1,25,11477683,1240349,1,290,11
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-rate1-w32,518,2636322,259487,1,218,109
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-recharge1-w128,1015,93987867,13635043,4,11369,407
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-repair1-smoke,11,612001,92273,1,75,7
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-repair2-smoke,15,3269421,456966,1,135,7
