version,model,condition,planned,scored,effective,HSR,SRR,Incapable_Rate,provisional,full_coverage,source,source_sha256
legacy-gptoss-judge,GLM-4.7-Flash,baseline,716,716,610,0.5705,0.0084,0.148,False,True,projects/skill/saber/judged/codex_glm47_flash_baseline_716_codex-native-none/summary.json,ebce2a6d1818f533e57c63b9ced0e7ace3aca21d292ce4d82663d9ff3bc495fd
legacy-gptoss-judge,gpt-oss-120B,baseline,716,716,354,0.5819,0.0265,0.5056,False,True,projects/skill/saber/judged/codex_gptoss120b_baseline_716_codex-native-none/summary.json,901ef1bace8acee0fdb77063b517eae8a132033459cf6593a6cdee856e2c0de5
legacy-gptoss-judge,MiniMax-M2.5,baseline,716,716,604,0.5182,0.0349,0.1564,False,True,projects/skill/saber/judged/codex_minimax_m25_baseline_716_codex-native-none/summary.json,09f049d22635093840cab4b78a9c8a568b347e52a92e445039c70297fac0b25c
legacy-gptoss-judge,Qwen3.8-27B,baseline,716,716,523,0.3231,0.0503,0.2696,False,True,projects/skill/saber/judged/codex_qwen38_27b_baseline_716_codex-native-none/summary.json,4150c7427fec21740841713c200d4a8fc36953019a8f31be5ff969f856a275b3
legacy-deepseek-judge,DeepSeek-V4-Flash,baseline,716,716,605,0.4446,0.0768,0.155,False,True,projects/skill/saber/judged_deepseek_v4_flash/codex_deepseek_v4_flash_local_baseline_716_codex-native-none/summary.json,ff19452948bccbd108be7c20c0582752bd049025426adb4ee7c37e16227d44d6
legacy-deepseek-judge,DeepSeek-V4-Flash,skills,716,716,413,0.1961,0.2388,0.4232,False,True,projects/skill/saber/judged_deepseek_v4_flash/codex_deepseek_v4_flash_local_treatment_716_codex-native-safety-orchestrator/summary.json,6f74b2649bc7d03b9e48fe5184829fbfee0d02a6d4f8cd3dbd2dbd9cc88f2ab5
legacy-deepseek-judge,DeepSeek-V4-Pro,skills,716,273,214,0.2196,0.2418,0.2161,False,False,projects/skill/saber/judged_deepseek_v4_flash/codex_deepseek_v4_pro_codex-native-safety-orchestrator/summary.json,6bd20c35e4a94de6382c724c02f540d249afd3667b132d2b4bded5cd701fd555
legacy-deepseek-judge,GLM-4.7-Flash,baseline,716,716,596,0.599,0.0209,0.1676,False,True,projects/skill/saber/judged_deepseek_v4_flash/codex_glm47_flash_baseline_716_codex-native-none/summary.json,952ad7d28dcb327e632e512ecebcdab7cf945f0c3060525e0dfc66a1c66937b8
legacy-deepseek-judge,GLM-4.7-Flash,skills,716,716,519,0.5511,0.0363,0.2751,False,True,projects/skill/saber/judged_deepseek_v4_flash/codex_glm47_flash_treatment_716_codex-native-safety-orchestrator/summary.json,c627b5d1b2d3c976fcdf90f3f24e19eac700193703e0f26112804ea24df3ea3e
legacy-deepseek-judge,gpt-oss-120B,baseline,716,716,369,0.5203,0.0587,0.4846,False,True,projects/skill/saber/judged_deepseek_v4_flash/codex_gptoss120b_baseline_716_codex-native-none/summary.json,a6e99fe3cd8926a5e0ea47bf57c9c3b33c8a424ac81bb28529744c60677704d2
