benchmark,condition,model,task,status,points,total,reason,stage,tool_calls,hook_runs,router_preloaded,termination_reason,turn_status,source,verifier_replay
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/fix-git,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-smoke,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-smoke/fix-git__5BAUdQt/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/openssl-selfsigned-cert,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-smoke,0,4,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-smoke/openssl-selfsigned-cert__rimcFT2/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/pytorch-model-recovery,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,7,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/pytorch-model-recovery__tRrptCB/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/polyglot-rust-c,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,4,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/polyglot-rust-c__4xh56cq/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/raman-fitting,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,6,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/raman-fitting__fCb7bHM/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/raman-fitting__fCb7bHM/verifier/repair-748831f608aa/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/cobol-modernization,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,2,8,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/cobol-modernization__GAnHqGv/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/rstan-to-pystan,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,23,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/rstan-to-pystan__BSr6p3Y/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/multi-source-data-merger,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/multi-source-data-merger__nms5bqu/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/dna-assembly,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,14,30,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/dna-assembly__uENJLBW/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/dna-assembly__uENJLBW/verifier/repair-3694c00a0ea5/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/financial-document-processor,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,10,25,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/financial-document-processor__XJgFRMZ/result.json,
